GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,edu.nmsu.cs.scoring,RacingScore2,27,122,16,12,7,30,14,4,0,4
JaCoCo Ant Example,edu.nmsu.cs.scoring,RacingScore1,9,94,3,3,5,25,3,4,0,4
